7.60933	-5.70723	1.32354	-2.50969	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
7.67249	-5.83192	1.24908	-2.43262	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
7.74063	-5.96255	1.24977	-2.4248	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
7.85316	-6.12547	1.74	-2.8244	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
7.94723	-6.25758	1.76207	-2.79664	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
8.02743	-6.38694	1.52506	-2.56885	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
8.13279	-6.49902	1.59314	-2.48158	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
8.20184	-6.61849	1.45773	-2.36378	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
8.27444	-6.75159	1.43804	-2.37569	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
8.35355	-6.88035	1.47377	-2.39959	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
8.44393	-6.99358	1.50684	-2.34672	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
8.50913	-7.10338	1.4566	-2.30681	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
8.57006	-7.23052	1.42163	-2.34331	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
8.67485	-7.38419	1.76695	-2.66596	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
8.75295	-7.52832	1.73622	-2.69869	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
8.807	-7.63766	1.30417	-2.30854	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
8.87055	-7.7656	1.28414	-2.31542	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
8.94394	-7.89552	1.40318	-2.44038	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
8.99665	-8.03042	1.35405	-2.48179	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
9.02865	-8.12825	1.00798	-2.16393	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
9.07742	-8.2491	0.990862	-2.17194	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
9.15195	-8.389	1.23192	-2.42202	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
9.19183	-8.52904	1.16885	-2.48062	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
9.22941	-8.641	0.910096	-2.23616	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
9.26894	-8.76967	0.881322	-2.25568	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
9.39678	-8.97847	1.71601	-3.11388	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
9.46997	-9.14429	1.67964	-3.14531	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
9.50698	-9.24958	1.21853	-2.66919	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
9.56418	-9.37722	1.21297	-2.65693	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
9.59955	-9.48738	1.01516	-2.46519	9.47534	-9.42627	9.55	-9.5	0	-3.00023
9.61586	-9.63458	0.917698	-2.5415	9.54779	-9.64959	9.55	-9.65	0	-3.0002
9.67671	-9.78503	1.06327	-2.7163	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
9.70391	-9.93512	0.99166	-2.76402	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
9.72513	-10.0507	0.70662	-2.45829	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
9.76204	-10.1756	0.707265	-2.43434	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
9.80628	-10.3099	0.750663	-2.49065	9.92627	-10.4745	9.75	-10.3	0	-3.00065
9.81219	-10.4567	0.660058	-2.56018	9.75524	-10.4732	9.75	-10.45	0	-3.00063
9.8533	-10.6082	0.763197	-2.68975	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
9.8818	-10.7611	0.726815	-2.7076	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
9.89854	-10.885	0.504569	-2.46125	9.88465	-10.9383	9.85	-10.9	0	-2.73074
9.89469	-11.0382	0.415739	-2.51909	9.83614	-11.041	9.85	-11.05	0	-2.73073
9.91536	-11.1705	0.446996	-2.57469	9.83952	-11.1692	9.85	-11.2	0	-2.99965
9.90224	-11.3252	0.343828	-2.65363	9.84568	-11.3496	9.85	-11.35	0	-2.99961
9.91758	-11.465	0.343109	-2.68083	9.87961	-11.5637	9.85	-11.5	0	-2.99843
9.89846	-11.6208	0.240015	-2.74964	9.83206	-11.6307	9.85	-11.65	0	-2.99843
